type,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,x_27,x_28,x_29,x_30,x_31,x_32,x_33,x_34,x_35,x_36,x_37,x_38,x_39,x_40,x_41,x_42,x_43,x_44,x_45,x_46,x_47,x_48,x_49,x_50,x_51,x_52,x_53,x_54,x_55,x_56,x_57,x_58,x_59,x_60,x_61,x_62,x_63,x_64,x_65,x_66,x_67,x_68,x_69,x_70,x_71,x_72,x_73,x_74,x_75,x_76,x_77,x_78,x_79,x_80,x_81,x_82,x_83,x_84,x_85,x_86,x_87,x_88,x_89,x_90,x_91,x_92,x_93,x_94,x_95,x_96,x_97,x_98,x_99,x_100,x_101,x_102,x_103,x_104,x_105,x_106,x_107,x_108,x_109,x_110,x_111,x_112,x_113,x_114,x_115,x_116,x_117,x_118,x_119,x_120,x_121,x_122,x_123,x_124,x_125,x_126,x_127
0,-0.004039608,-0.0046705245,-0.007737568,0.0067371507,0.0028200631,0.00020929653,-0.0077362563,-0.0040168134,-0.007568296,0.00160751,0.0021458913,0.003673276,-0.0034089934,-0.0025163465,-0.002438213,-0.006840105,0.0016518658,0.007218734,-0.007407811,-0.002686855,-0.0030346261,0.0020935035,-0.0044542253,0.002040563,0.004544817,-0.006308429,-0.0064872904,-0.007752868,0.0038975573,-0.0071352525,0.004578415,0.005337611,-0.0050845337,-0.0035130205,-0.0009813776,0.0012087434,-0.0012399878,-0.00672625,-0.0028061809,0.00132398,-0.0016546311,-0.0056391573,0.0033160716,-0.0066871257,0.0021172678,-0.0036237556,0.00054517004,-0.0015599214,0.0042411136,-0.0062830714,-0.0016188872,-4.1702093e-05,-0.005127983,-0.005085016,-0.0014731803,0.0068576178,-0.001002887,0.0027196996,-0.004435251,0.006918188,0.0022620147,0.007240234,0.0034215264,-0.003278896,0.0017086217,-0.0033649874,0.0045126607,0.001472179,-0.0016927166,-0.0045292894,-0.0062720166,-0.0006727122,-0.006991529,-0.007193748,-0.0062154997,0.0017865397,-0.0050755315,-0.0059401128,0.0015915317,0.0015564191,0.0065896567,0.0036709672,-0.007444208,-0.0002961679,0.006209972,0.0020346858,0.0021004977,-0.003829898,0.005069565,0.0013246094,-0.005996845,0.0053220023,-0.007739414,-0.0063098855,-0.0037909986,0.0076822904,0.0024014905,-0.0015289324,0.00691019,0.0018554163,-0.0043023694,-0.0024536427,-0.00460569,0.002893281,-0.005370184,-0.0016214486,-0.00091471634,0.005647202,0.0050957915,0.0026719,-5.9754882e-05,-0.0037320713,-0.0016318356,-0.004256254,0.0069859354,-0.0066046356,-0.007744005,-0.00065034814,0.0028757474,0.0063834,0.0069300034,0.004875945,-0.0048988494,0.0067603006,-0.00736187,0.0005788191,-0.0051598917,-0.00058497593
1,0.0020977359,-0.006023641,0.0029891245,0.0010661648,-0.00042707374,0.004811175,-0.003420397,-0.0012788123,0.0008047239,0.0022649812,-0.006758328,-0.0039567994,0.006124114,0.00072179537,0.0029201864,-0.0072625587,-0.0014852263,0.0016215479,0.0019561346,0.0069976193,0.00023781369,-0.0037071418,-0.0025918286,0.007576512,0.005859486,-0.00692645,-0.002862816,0.004265035,0.0007159115,0.0069263834,-0.004564515,-0.0023772502,0.0065865964,0.004316281,0.0068404498,-0.0024832732,0.0017500131,-0.005372432,-0.0046208696,-0.00467286,-0.0065542995,-0.0016755045,0.0027851944,-0.0012368929,0.0023270086,0.0040024933,0.0059212977,0.001999848,0.0061764196,-0.0031022793,-0.0036717525,-0.00085290294,0.004594606,0.0036340824,-0.006504008,-0.0022550446,-0.006321635,0.006880818,-0.0015957544,-8.417711e-05,0.006755029,0.0014740998,-0.0058028074,0.005309468,0.0036709295,0.0062569375,-0.002967765,0.003384867,0.0037643898,-0.0032554583,0.0016543608,0.0041188975,-0.006117787,-0.00725816,0.0066238395,-0.003378053,0.007553209,-0.0021411886,0.0075122523,-0.004675469,0.0026100397,0.0035052784,-0.0068355543,0.004068759,-0.0051424126,-0.0029259415,0.0035727709,0.0075062667,-0.0021621024,-0.0024209248,0.00026704805,-0.000445248,-0.0076765213,-0.006156245,0.0044964906,0.0055846884,-0.003633285,0.0025742408,-0.00096064125,0.0027443464,-0.004838055,0.002245571,-0.0038374206,-0.0051638456,0.0066425926,-0.006136669,-0.0023076201,0.0034780342,-0.006585585,-0.0037410874,0.00070065097,-0.0046101683,0.006940126,0.0070128934,0.0058404803,0.0021689408,-0.00394072,-0.0003996827,-0.0015941095,0.004883418,-0.005471466,-0.0067553064,-0.0075664674,-0.0062902877,-0.005085246,-0.0018421081,-0.0018460597,0.004895972
10,0.0035277046,0.004056789,0.0020536315,0.0015890691,0.0035778228,0.0068478305,0.004163811,0.0015979018,-0.0016169306,0.004056964,0.0056572165,0.0072141886,0.0050879642,0.0036315974,-0.007758053,0.002704883,-0.0015366711,0.00301251,0.004978692,-0.0017844029,-0.0068261568,-0.0018257331,-0.0039729755,-0.002899604,-0.004361462,0.004021516,0.0005456526,0.00014925562,-0.0037285183,0.007553827,0.00046336278,-0.001968246,-0.007204108,0.0022223033,-0.005924627,-0.0036339927,-0.00709283,0.0010033026,0.0065197255,0.0045997314,-0.0024704896,-0.000901822,0.0075765103,-0.005307274,-0.0030667745,0.0057891626,0.0015134588,0.006120339,-0.0010694768,-0.0044915937,0.00082474016,0.006772101,0.0023080818,-0.0036348887,-0.00067787245,-0.00752498,0.0057626553,0.0061965603,0.0026498195,-0.0038872845,0.005134525,0.0012819394,0.0025260635,0.005645126,-0.0034264382,0.0047096163,-0.0004912261,0.0077723805,0.00016964413,0.0061992053,-0.0015631672,-0.002373835,0.0020137,-0.0060939044,-0.0014138911,0.00025509112,0.0013680961,0.0046640635,-0.0014341734,-0.00032104366,-0.0056791417,-0.0046419296,0.00011349097,-0.001979081,-0.0015443787,0.0048219394,-0.0045186337,0.005035693,-0.0031852536,-0.0054250695,-0.00612651,0.003552463,-0.0026441477,0.006788643,-0.0045550168,0.0041670054,-0.0004631579,0.0044633597,-0.00064891577,-0.0036406964,-0.0074360743,0.0041447785,-0.0058644023,-0.0018922351,0.0023730658,0.0074729957,-0.0025648177,-0.00096644834,0.003817089,0.0038491078,-0.0024791528,-0.0034401454,-0.003081834,0.005501192,-0.004092075,-0.0047181807,-0.004583059,-0.0025331397,0.0063343793,-0.0010385066,0.0071934536,-0.006092731,0.0019280557,0.006981708,-0.007614555,-0.0009606611,-0.0067245606,0.005594643
100,-0.0016325023,0.0047683436,-0.0037253909,0.0025218818,-0.0030513331,-0.0070429426,-0.0023352671,-0.0005036909,-0.0071385335,0.00022177398,-0.0042196047,0.0043080356,-0.003410671,0.0074454714,0.0010228101,-0.001912713,-0.0053217392,-0.0056062397,-0.0035853442,-0.001306314,-0.0071553476,-0.0032766238,-0.0019562338,0.0074302573,-0.0010146461,0.0035605337,-0.0013364963,-0.001278583,0.0046059415,0.0052366983,0.0008469224,0.004060272,-0.0059620105,0.004098097,-0.001289932,0.004001042,-0.0024470259,0.0012886953,0.00406792,-0.0061826687,-0.0028529111,0.0034191888,0.00024310872,0.0006852951,-0.0018681027,0.0051401593,0.0063226745,0.006936755,-0.0022742152,0.007356398,0.0029836614,0.004636444,-0.0019880496,-0.003574688,0.003714174,0.0011771526,-0.0077539757,0.0043405816,-0.005985515,-0.007042922,-0.007529864,0.002809545,0.007039614,-0.004807947,6.9476664e-07,0.00039041974,0.0011964105,-0.0076501537,0.0018553287,0.005196968,-0.0018522143,-0.0040016547,0.00705239,-0.002954686,0.0006127618,0.002851775,0.0050691366,-0.004572239,-0.0014989823,0.0050716083,0.0012586974,0.0028975643,0.0046622194,0.005957242,0.0039010923,-0.0023287926,0.005504187,-0.0036053155,-0.00089966133,-0.0014608204,-0.0009219516,0.007418506,-4.4312328e-05,-0.006571034,-0.0010126121,-0.0071942452,-0.0025835875,0.0011505708,-0.0028303768,-0.0063670427,0.0028449316,-0.0064379647,-0.0005206838,-0.004805792,-0.0058826096,0.006499037,0.0018669888,-0.0051526316,0.0037665684,-0.0054246504,-0.0009364132,-0.0003018882,-0.007373562,0.005767327,-0.0030059032,-0.0010782164,-0.002495138,-0.005724894,-0.0007923413,0.00554925,0.004894072,0.0035495944,-0.0008932762,0.00030617788,-0.0066899024,3.5872683e-05,-0.0052876957,0.006117435
101,0.005222085,-0.004678765,-0.0010738664,0.0025820448,-0.0033998922,0.006767885,0.0037289346,0.0036480888,0.0034710795,-0.0065632947,-0.0053589903,-0.00025967928,-0.0032379394,-0.005560012,-0.006600282,-0.004358765,-0.006489485,-0.00032001713,0.0053308797,-0.004723839,0.0032438603,0.0055153253,0.00689384,0.004960123,0.001937672,-0.0034359295,-0.0014706781,-0.00010269345,-0.002245429,-0.006477279,0.00094953424,-0.0059350296,0.0025526106,0.0023768418,0.004368518,-0.005488033,-0.00018453787,-0.00024545545,0.003497448,0.0043723374,0.0026567113,-0.0065503637,-0.0004751702,-0.007107381,-0.005243782,0.006823245,0.0045415573,-0.0043650735,0.0074071283,-0.0019811676,-0.006254719,0.0028210962,0.002174014,0.0008988369,0.005410265,-0.00094661,0.0025811668,0.0037512542,-0.0051251804,-0.0016841827,-0.0051318747,-0.003767635,0.0051315585,-0.0011889369,0.0006901631,-0.0071160593,-0.0013972344,0.0053439336,0.0038734537,0.0010490345,0.004806245,0.0048144083,-0.0076820985,0.0063884724,-0.0069366368,-0.0059635905,-0.0010224668,0.0011158407,-0.0041598235,6.4941705e-05,0.0011129094,-0.0027497783,-0.0012973009,-0.005271421,-0.0036800203,-0.0038703764,-0.0033964796,0.0034523217,-0.007413671,-0.004891496,-0.0027131208,-0.007218578,-0.004992794,0.006324086,-0.004010586,-0.003985873,-0.0031648893,0.004577033,0.006454332,-0.0028048875,0.005072675,0.0054481393,-0.007371905,0.006578826,0.00647808,0.00038690516,0.002868471,-0.0036283901,0.0072525167,-0.007556584,0.006858366,-0.0028809821,0.0034846726,-0.0047372794,0.0071150577,0.0064895875,-0.0057602534,-0.0034829634,0.0026159158,-0.0008658144,-0.0023097557,0.0040997905,0.003533879,-0.0050922353,0.0019331812,0.0061561563,0.006540244,0.0027627253
102,0.0035534801,0.0002564234,-0.0061565572,0.0008546857,-0.0035345845,-0.0050225225,-0.0015559652,-0.001404274,0.00625367,0.0010155814,-0.004889236,-0.004067345,0.0045226575,-0.0015911788,0.007426897,0.0052615735,-5.5244513e-05,-0.0013974219,-0.0066835927,0.0029928922,0.0004764257,0.007408283,-0.0010600373,0.0037742471,-0.0022859355,0.0050858925,0.0055508,0.0046952134,-0.0014899436,-0.0028969576,0.003632449,-0.005548029,0.00055344007,0.006987185,0.0034612746,0.0076230746,0.0016530161,-5.5262455e-05,0.0026211296,0.0046012537,-0.0017651152,-0.00013636064,0.004375887,0.001091717,-0.0056361174,0.005157786,-0.0030353998,0.0042101615,-0.007587421,0.0022045756,-0.002570872,0.0050284835,-0.0044980785,-0.0076698456,0.0055214977,-0.007539801,0.0051229424,-0.0041858996,-0.0047472646,0.007345447,0.0056853425,0.0045042885,-0.0045408504,-0.002071951,-0.0018431918,0.0042726924,0.0073264455,-0.003270762,-0.0020576704,-0.0070510237,0.0060328604,0.00023946783,-0.0058350516,-0.005324792,-0.001970518,0.0024058244,-0.0043213996,0.0027029368,-0.0060097496,-0.002524394,-0.005739262,-0.0019966245,0.0051251277,-0.005615072,0.0021062312,-0.0003181144,-0.0030705938,0.006320332,0.006602271,-0.0068427995,0.0066338074,0.0027765962,-0.0025668293,0.007398009,0.006066066,0.0027136952,0.00024300652,-0.0040072044,0.0032273268,-0.0045554377,0.005448174,-0.0033687952,0.0034109745,-0.004753384,-0.0003045433,0.001281664,-6.862704e-05,0.0038837492,-0.0036299105,0.005578111,0.0044570426,-0.005197363,-0.0044144355,0.0068074847,0.00044301833,-0.004093335,-0.0037162544,-0.0050105094,0.00040095768,0.0004972654,0.005596464,-0.007363153,0.0069307415,0.00554025,-0.00080967904,-0.0026469189,0.0069118147,0.004838764
103,0.0035988577,0.005115853,-0.007499356,0.0046534706,-0.0027692297,-0.006278549,-0.0035394025,0.0060208295,0.006769124,0.005655528,-0.002279112,-0.001974689,0.0016966531,0.0045070625,0.0062035653,-0.0021638942,0.0012409942,0.0029101411,0.0015992527,0.004837895,0.0047143735,-0.001894464,-0.0068227937,0.007570706,-0.0048879078,-0.0029654864,0.006534762,0.0008692276,0.006775716,-0.0032560427,0.007662214,0.004475923,-0.002453651,-0.003383356,0.0030762556,-0.0019007096,-0.0042921584,0.0044568763,-0.005877427,-0.00044428196,-0.0024620802,0.00035518417,0.0076941177,-0.00089191616,0.005085972,-0.0043416987,-0.0063819047,0.001519973,-3.372152e-05,-0.004062914,0.0045140423,0.002929423,0.007082921,0.002756173,-0.007257409,0.0031828873,0.0040595103,0.0016948624,-0.0071436022,0.0045735477,-0.0066654044,-0.006329946,0.00073287095,0.004050806,-0.0058206525,0.0046698344,-0.0020379038,0.0013311732,0.00022935546,-0.004812062,0.001122531,-0.0013671316,-0.0032321776,-0.000329337,-0.007109501,0.0021154515,0.0021553836,0.0062605836,0.0035265044,0.002591587,-0.0060891984,0.0068362537,-0.0033429037,-0.0073739933,-0.0053823623,-0.0041669956,0.0014708366,0.0046782736,-0.0031579891,-0.0036324537,0.0043901955,0.00046881492,0.0043070777,0.00016473592,-0.0075383172,0.005321955,0.002038752,-0.00039101593,0.00023760587,-0.005928833,-0.0023067943,-0.007393512,-0.0061545353,-0.005032492,-0.006786479,0.0042272382,0.005003049,0.004780358,-0.00023873312,0.006251988,-0.0024861463,-0.0033560304,-0.004137315,0.0034021186,0.007510105,0.0057097087,0.0048090313,0.0037552235,0.0025083043,-0.0075393687,0.0045643346,0.004710201,-0.0037458318,0.006113716,-0.0013776432,0.0049646716,0.0076372284,-0.0034093575
104,-0.0016094862,0.0050831675,0.002470531,-0.0069438275,0.0038791506,-0.0019996248,-0.007070931,-0.0029834437,-0.004286552,0.006234877,0.0023177345,-0.0022161328,-0.0017397869,-0.0057438132,-0.0037210626,0.0057893824,-0.0076038167,0.0066164196,0.004499651,-0.0074290414,0.0017683286,-0.007625616,0.0028578585,-0.0060203495,0.006405467,-0.0009296759,0.006039405,0.004966556,0.0073655206,-0.0036059066,-0.0017109342,-0.0011791012,-0.0035650155,-0.0002485771,-0.0015800542,0.00062326476,0.0053579784,0.0070326445,-0.0034348415,0.0071609095,0.0062032766,-0.006375442,-0.00018662357,-0.0065387483,0.0045526763,0.0027748495,-0.0035481572,0.005650923,-0.00597596,0.0059979325,-0.004634163,0.002410105,0.00721738,0.0072365925,-0.0015736129,0.0003378177,-0.0076705683,0.0022068846,-0.0025405774,-0.007775762,-0.0037077593,0.0043044076,-0.0027514456,-0.00529445,-0.0026177003,-0.0014348363,-0.004721854,-0.006251727,-0.0011252691,0.0011076847,8.728394e-05,0.0052158013,-0.00461191,0.0062844567,0.0058969166,0.0010184379,-0.0078023504,-0.0028904295,-0.005474857,0.006438567,0.006494782,-0.001683503,0.0042267805,-0.003990008,-0.0025638808,0.0034567805,0.002189437,0.0005501454,0.0008088648,0.0074759666,0.00641687,-0.0023184964,-0.0046202773,0.0017796451,0.0026394974,-0.0027465436,0.007767629,0.007133059,0.004742339,-0.00024288506,-0.0072410638,0.00041108736,-0.006949206,-0.003040059,-0.00068577385,-0.006720901,0.0065181903,-0.0037811098,-0.005923445,0.0049250145,0.0068761515,-0.00014492002,0.006054908,0.0013735055,-0.004411204,-0.0022410278,-0.0005658838,0.0009231384,-0.0070529534,-0.0046217316,-0.0007254024,0.0075227483,-0.00096702855,0.0042264727,0.0025767419,-0.0021041802,-0.0048760152,-0.0070412476
105,-0.004549271,-0.0045547816,-0.0050317384,-0.0004499602,0.001118712,-0.004962724,-0.0030808037,0.0033659805,-0.0070921066,-0.005468387,-0.0046158372,0.0065951636,2.4940322e-05,-0.0071797613,-0.0021774175,0.005724807,0.0038102255,-0.005071819,-0.0036573168,-0.0012620634,0.0066578407,-0.00379581,0.0039706505,-0.004464652,0.0028372235,-0.0015887638,0.0072716125,-0.005590894,0.0073718866,-2.01314e-05,0.0074767885,0.0072166934,0.0006088253,-0.0043769833,-0.0012490208,-0.0073521314,-0.0011450707,0.006735404,0.00053258036,-0.0046283463,0.004712193,0.0021085506,-0.0047118375,-0.0038377205,0.00091753807,0.0059206886,-0.0037688836,0.0038117757,0.0021548467,0.0073296046,-0.0020792738,-0.0020436805,-0.007347858,0.0028434945,-0.0032319196,0.0019481357,-0.0033509945,0.0071331193,-0.004844445,-0.0069584385,-0.003649944,0.0019057808,-0.0018398315,-0.0041689323,0.0053951843,0.003764572,0.007207989,0.005264471,0.007537035,-0.0012379144,0.0027962837,-0.0067622154,0.0027377615,-0.005489021,-0.0048229857,0.0020087576,-0.0039203344,-0.00590777,0.006538341,0.0014270877,0.0010399398,-0.0013736311,-0.0067103216,0.0023028397,-0.007571434,-0.0023348187,-0.0020379894,-0.00045611418,-0.001866137,-0.005140106,0.0045739613,-0.0037075155,0.0046318904,-0.007758532,-0.0076073757,0.0068739643,-0.003520515,-0.002593253,-0.0028493754,-0.0027798063,-0.0030001584,-0.005642926,0.0033318403,0.002715191,-0.0033107696,0.006007624,0.0033194039,0.0071615465,-0.0060580913,-0.0006386404,0.0019599963,-0.007459088,-0.007667749,-0.004830799,-0.0059756953,-0.005407582,-8.188556e-06,0.006669009,0.006443513,0.006163684,0.0008566093,0.006780939,-0.00508481,0.0036359273,0.002115013,-0.0022288775,0.0013010581,-0.0016168059
106,-0.00061197527,-0.006919519,-0.0044577825,0.0033806285,-0.005807252,-0.006567812,0.006428772,-0.0038874513,-0.0054343273,0.007514745,-7.133589e-05,-0.0023427247,-0.0044908817,0.006981352,-0.002545226,0.0033266062,0.0011993529,0.0037814246,0.0015575462,-0.0064901756,0.0061301943,0.0028865207,-0.0010844409,0.0029265326,0.006715278,0.003384213,0.0029655013,-0.004776816,-0.005402919,0.0033002994,0.005180109,0.003137906,-0.0061476748,-0.0015824365,0.00539928,0.004106213,-0.0003984939,0.0018068495,0.0011916932,0.0050104465,-0.0023180724,0.0016659247,-0.0068611857,-0.0015540557,0.0027451755,-0.0058333646,-0.004615178,-0.0018307987,-0.0008454666,0.001368322,-0.0044655674,0.0009285428,-0.0050003612,-0.0026165016,0.000595238,-0.0057434295,0.002880067,-0.005723114,0.004660306,-0.007302793,-0.0046492135,-0.0016880961,0.0057690507,0.0063421605,0.0038096735,-0.003368917,-0.0035158345,-0.0032760992,0.0013801595,-0.002246273,0.0007129915,0.00053999096,0.001758661,0.001985311,-0.0055155894,0.005897195,-0.006667321,0.0034657274,-0.0012859401,0.0074688005,0.00020701284,0.00015213704,-0.002921583,0.0004588642,0.005696479,-0.0029334626,0.0074585434,0.0011514019,-0.0026618335,-0.007041737,-0.0056084567,0.005976552,-0.004519405,-0.0038474957,0.0021624845,0.003697053,0.0041096346,0.0029028794,-0.0068788244,0.0063364916,0.0024107706,0.002366191,-0.006055785,-0.0008801039,0.00023723746,-0.0067322333,0.00077600544,-0.000555888,-0.0033140583,0.0069015897,0.003784217,0.004134531,0.0029058908,-0.0020657498,0.0024845619,0.003296425,0.0073866732,0.0031159902,-0.0056117494,0.0076784277,0.005255719,-0.0030408895,0.0041754306,-0.0029223533,0.0059637795,0.006685994,-0.0043978663,0.0048382883
